doc_id	annotator	Key Information CC	Key Information DS	Medical Entities Completeness	Structure - Headers	Structure - Content	Content Accuracy	Made-up Content	Coherence	Overall Quality	Feedback
31256189	Laura	['clinical procedures', 'sex', 'age', 'symptoms, signs and clinical findings', 'diseases and co-morbidities', 'past medical conditions']	['sex', 'age', 'diseases and co-morbidities', 'symptoms, signs and clinical findings', 'clinical procedures', 'past medical conditions']	5	5	5	5	4	False	4	"it made up the finals sections of ""plan"" and "" discharge condition"" "
27198691	Leti	['symptoms, signs and clinical findings', 'diseases and co-morbidities', 'medications', 'clinical procedures', 'sex', 'age', 'past medical conditions', 'social determinants of health']	['symptoms, signs and clinical findings', 'diseases and co-morbidities', 'medications', 'clinical procedures', 'sex', 'age', 'past medical conditions', 'social determinants of health']	5	3	5	5	4	False	4	Podría mejorar los titulos de cada sección. El diagnóstico final no puede aparecer al principio. l último apartado de imagen es redundante. 
31377751	Laura	['symptoms, signs and clinical findings', 'medications', 'clinical procedures', 'sex', 'age', 'past medical conditions']	['symptoms, signs and clinical findings', 'medications', 'clinical procedures', 'sex', 'age', 'past medical conditions']	5	5	5	5	4	False	4	"the only section that was made of is "" Discharge Condition:** and it's content
 "
31379463	Laura	['symptoms, signs and clinical findings', 'medications', 'clinical procedures', 'sex', 'age', 'past medical conditions', 'diseases and co-morbidities']	['symptoms, signs and clinical findings', 'medications', 'clinical procedures', 'sex', 'age', 'past medical conditions', 'diseases and co-morbidities']	3	5	4	4	4	False	2	"DS: The patient was supplemented with 40 mmol of potassium orally and 2.25 mmol of calcium gluconate intravenously due to low calcium levels.  it is not specified that potassium levels are also low.
The DS is very abbreviated and lacks more specific information that is specified in the CC, it miss important information about the history of the episode. 
 "
29399767	Leti	['symptoms, signs and clinical findings', 'medications', 'clinical procedures', 'sex', 'age', 'past medical conditions', 'social determinants of health']	['symptoms, signs and clinical findings', 'medications', 'clinical procedures', 'sex', 'age', 'past medical conditions', 'social determinants of health']	4	3	5	5	5	False	4	Diagnosis:** Permanent atrial fibrillation with high risk of cardioembolic stroke and contraindication for anticoagulants. Aquí sería mejor motivo de hospitalización o  consulta: e.g cierre de LAA 
31668014	Laura	['symptoms, signs and clinical findings', 'diseases and co-morbidities', 'medications', 'clinical procedures', 'sex', 'age', 'past medical conditions']	['symptoms, signs and clinical findings', 'diseases and co-morbidities', 'medications', 'clinical procedures', 'sex', 'age', 'past medical conditions']	4	5	4	2	4	False	2	"Diagnosis:** Worsening heart failure with reduced ejection fraction (EF). Is missing that patient was on hemodialysis
Severe left ventricular (LV) dysfunction with EF of 35% and high filling pressures. ( Is 34% not 35%) 
- Moderate renal impairment with estimated glomerular filtration rate (eGFR) of 40 ml/min per 1.73 m². ( is 52ml/min not 40 ml/min)40ml/min is in another paragraph
There's important information that is missing related to heart failure. "
31708703	Laura	['symptoms, signs and clinical findings', 'diseases and co-morbidities', 'medications', 'clinical procedures', 'sex', 'age', 'past medical conditions']	['symptoms, signs and clinical findings', 'diseases and co-morbidities', 'medications', 'clinical procedures', 'sex', 'age', 'past medical conditions']	4	4	4	4	4	False	4	DS made up this sentence: Following this event, there was a decline in cardiac function, with a left ventricular ejection fraction (LVEF) dropping to 0.40 by August 2013. and the final section of recommendations
31939641	Leti	['symptoms, signs and clinical findings', 'diseases and co-morbidities', 'clinical procedures', 'sex', 'age', 'past medical conditions', 'social determinants of health']	['symptoms, signs and clinical findings', 'diseases and co-morbidities', 'clinical procedures', 'sex', 'age', 'past medical conditions', 'social determinants of health']	5	5	5	5	4	False	4	Assesment, plan and discharge instructions were made up 
31939641	Laura	['symptoms, signs and clinical findings', 'diseases and co-morbidities', 'sex', 'age', 'past medical conditions', 'social determinants of health', 'clinical procedures']	['symptoms, signs and clinical findings', 'diseases and co-morbidities', 'clinical procedures', 'sex', 'age', 'past medical conditions', 'social determinants of health']	5	5	5	5	4	False	4	Assesment, plan and discharge instructions were made up 
32305569	Laura	['symptoms, signs and clinical findings', 'diseases and co-morbidities', 'medications', 'clinical procedures', 'sex', 'age', 'past medical conditions']	['symptoms, signs and clinical findings', 'diseases and co-morbidities', 'medications', 'clinical procedures', 'sex', 'age', 'past medical conditions']	4	4	4	4	4	False	3	There's important information of the CC that is missing in DS, like some test and clinical management. 
29877258	Leti	['symptoms, signs and clinical findings', 'diseases and co-morbidities', 'medications', 'clinical procedures', 'sex', 'age', 'past medical conditions', 'social determinants of health']	['symptoms, signs and clinical findings', 'diseases and co-morbidities', 'medications', 'clinical procedures', 'sex', 'age', 'past medical conditions', 'social determinants of health']	5	5	3	4	3	True	3	La paciente acude a revisión del HeartMate no a su implante. 
29899452_1	Leti	['diseases and co-morbidities', 'medications', 'sex', 'age', 'past medical conditions', 'social determinants of health', 'clinical procedures']	['diseases and co-morbidities', 'medications', 'clinical procedures', 'sex', 'age', 'past medical conditions', 'social determinants of health']	4	5	3	3	5	False	4	No menciona la dilatación de VI ni la elevación de BNP que son parámetros importantes al principio. Tampoco el indice cardiaco ni el stroke volume en en cateterismo. El apartado de discharge no puede contener información de la pre-discharge 
30170386	Leti	['symptoms, signs and clinical findings', 'diseases and co-morbidities', 'medications', 'clinical procedures', 'sex', 'age', 'past medical conditions', 'social determinants of health']	['symptoms, signs and clinical findings', 'diseases and co-morbidities', 'medications', 'clinical procedures', 'sex', 'age', 'past medical conditions', 'social determinants of health']	5	5	5	5	5	False	5	Sin pegas 
30567249	Leti	['symptoms, signs and clinical findings', 'diseases and co-morbidities', 'medications', 'clinical procedures', 'sex', 'age', 'past medical conditions', 'social determinants of health']	['symptoms, signs and clinical findings', 'diseases and co-morbidities', 'medications', 'clinical procedures', 'sex', 'age', 'past medical conditions', 'social determinants of health']	5	3	5	5	5	True	3	El diagnóstico lo pondía la final y añadiría que ha fallecido. Le pongo un 3 por lo de no darse cuenta que el paciente falleció.
30633184	Leti	['symptoms, signs and clinical findings', 'diseases and co-morbidities', 'medications', 'clinical procedures', 'sex', 'age', 'past medical conditions', 'social determinants of health']	['symptoms, signs and clinical findings', 'diseases and co-morbidities', 'clinical procedures', 'sex', 'age', 'past medical conditions', 'social determinants of health']	5	5	5	5	5	False	4	Se ha inventado todos los fármacos de el Medical discharge excepto Rivaroxaban.
30700635	Leti	['symptoms, signs and clinical findings', 'diseases and co-morbidities', 'medications', 'clinical procedures', 'sex', 'age', 'past medical conditions', 'social determinants of health']	['symptoms, signs and clinical findings', 'diseases and co-morbidities', 'clinical procedures', 'sex', 'age', 'past medical conditions', 'social determinants of health', 'medications']	5	5	5	5	5	True	4	Lo único ue me sobra es el último follow-up porque estos pacientes permanencen en la UCI largo tiempo
30971480_1	Leti	['symptoms, signs and clinical findings', 'diseases and co-morbidities', 'medications', 'clinical procedures', 'sex', 'age', 'past medical conditions', 'social determinants of health']	['symptoms, signs and clinical findings', 'diseases and co-morbidities', 'clinical procedures', 'sex', 'age', 'past medical conditions', 'social determinants of health', 'medications']	5	5	3	5	5	False	4	Diagnosis debería aparecer al final antes de discharge condition. Outcome debería is tras discharge conditionsy sería más apropiado denominarlo follow-up 
32351016_1	Laura	['symptoms, signs and clinical findings', 'diseases and co-morbidities', 'medications', 'clinical procedures', 'sex', 'age', 'past medical conditions', 'social determinants of health']	['symptoms, signs and clinical findings', 'diseases and co-morbidities', 'medications', 'clinical procedures', 'sex', 'age']	4	4	5	5	4	False	4	"The previous diseases of the patient are missing in DS and some numerical data also. 
There are medications that have not been reflected"
32434382	Laura	['symptoms, signs and clinical findings', 'diseases and co-morbidities', 'medications', 'clinical procedures', 'sex', 'age', 'past medical conditions']	['symptoms, signs and clinical findings', 'diseases and co-morbidities', 'medications', 'clinical procedures', 'sex', 'age', 'past medical conditions']	5	5	5	5	4	False	4	Details of dosage of some medications are missing
32541524	Laura	['symptoms, signs and clinical findings', 'diseases and co-morbidities', 'medications', 'clinical procedures', 'sex', 'age', 'past medical conditions']	['symptoms, signs and clinical findings', 'diseases and co-morbidities', 'medications', 'clinical procedures', 'sex', 'age', 'past medical conditions']	3	5	4	4	4	False	3	"Part of the TAE procedure is missing in DS, so important information is not included in DS. 
The "" Diagnostic imaging"" section is too short "
32864940	Laura	['symptoms, signs and clinical findings', 'diseases and co-morbidities', 'medications', 'clinical procedures', 'sex', 'age', 'past medical conditions']	['symptoms, signs and clinical findings', 'diseases and co-morbidities', 'medications', 'clinical procedures', 'sex', 'age', 'past medical conditions']	3	5	3	3	4	False	2	DS miss the duration of symptoms. In section medical history, there are symptoms. In section pulmonary auscultation is missing.There’s important information in ECO Doppler not included in DS ( also in MRI). The surgical procedure its very summarized 
33139369	Laura	['symptoms, signs and clinical findings', 'diseases and co-morbidities', 'medications', 'clinical procedures', 'sex', 'age', 'past medical conditions', 'social determinants of health']	['symptoms, signs and clinical findings', 'diseases and co-morbidities', 'medications', 'clinical procedures', 'sex', 'age', 'past medical conditions', 'social determinants of health']	4	5	4	4	4	False	3	An important procedure as intubation was missed in DS. incomplete results of blood test. Missing previous echocardiographic tests 
33407125	Laura	['symptoms, signs and clinical findings', 'diseases and co-morbidities', 'medications', 'clinical procedures', 'sex', 'age', 'past medical conditions']	['symptoms, signs and clinical findings', 'diseases and co-morbidities', 'medications', 'clinical procedures', 'sex', 'age', 'past medical conditions']	5	4	5	5	4	False	4	The DS reflects very well the clinical case, it only fails in some header’s sections ( the names that uses for the header)
33544806	Laura	['symptoms, signs and clinical findings', 'diseases and co-morbidities', 'medications', 'clinical procedures', 'sex', 'age', 'past medical conditions']	['symptoms, signs and clinical findings', 'diseases and co-morbidities', 'medications', 'clinical procedures', 'sex', 'age', 'past medical conditions']	2	4	1	2	4	False	3	The DS is very summarized, with important information missing. 
33782774	Laura	['symptoms, signs and clinical findings', 'diseases and co-morbidities', 'medications', 'clinical procedures', 'sex', 'age', 'past medical conditions']	['symptoms, signs and clinical findings', 'diseases and co-morbidities', 'medications', 'clinical procedures', 'sex', 'age', 'past medical conditions']	2	4	4	4	4	False	3	The DS is very summarized, with important information missing , p.e  surgical procedure is not included in DS. The content in DS is more general without details. 
33823878_4	Laura	['symptoms, signs and clinical findings', 'diseases and co-morbidities', 'medications', 'clinical procedures', 'sex', 'age', 'past medical conditions']	['symptoms, signs and clinical findings', 'diseases and co-morbidities', 'medications', 'clinical procedures', 'sex', 'age', 'past medical conditions']	5	5	5	5	4	False	4	DS mad up the follow-up  and discharge instructions 
34946264	Laura	['symptoms, signs and clinical findings', 'diseases and co-morbidities', 'medications', 'clinical procedures', 'sex', 'age', 'past medical conditions']	['symptoms, signs and clinical findings', 'diseases and co-morbidities', 'medications', 'clinical procedures', 'sex', 'age', 'past medical conditions']	5	5	5	5	5	False	5	DS is very accurate with all the laboratory results and medications 
35414581	Laura	['symptoms, signs and clinical findings', 'diseases and co-morbidities', 'medications', 'clinical procedures', 'sex', 'age', 'past medical conditions', 'social determinants of health']	['symptoms, signs and clinical findings', 'diseases and co-morbidities', 'medications', 'clinical procedures', 'sex', 'age', 'past medical conditions', 'social determinants of health']	4	5	4	5	5	False	5	DS missed some information about the electronic device, but it's not relevant for the clinical case 
36055898	Laura	['symptoms, signs and clinical findings', 'diseases and co-morbidities', 'medications', 'clinical procedures', 'sex', 'age', 'past medical conditions', 'social determinants of health']	['symptoms, signs and clinical findings', 'diseases and co-morbidities', 'medications', 'clinical procedures', 'sex', 'age', 'past medical conditions', 'social determinants of health']	5	5	5	4	4	False	4	DS missed information about one procedure ( ECG). DS always made up follow up information 
38866580	Laura	['symptoms, signs and clinical findings', 'medications', 'clinical procedures', 'sex', 'age', 'past medical conditions']	['symptoms, signs and clinical findings', 'medications', 'sex', 'age', 'past medical conditions']	1	5	1	2	4	False	3	There’s an important amount of information in the DS that is missing, related to physical exploration and medical procedures. Also some medications and part of the evolution of the clinical case 
